Item Title,abstract,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Proofs of Work From Worst-Case Assumptions,"We give Proofs of Work (PoWs) whose hardness is based on well-studied worst-case assumptions from fine-grained complexity theory. This extends the work of (Ball et al., STOC ’17), that presents PoWs that are based on the Orthogonal Vectors, 3SUM, and All-Pairs Shortest Path problems. These, however, were presented as a ‘proof of concept’ of provably secure PoWs and did not fully meet the requirements of a conventional PoW: namely, it was not shown that multiple proofs could not be generated faster than generating each individually. We use the considerable algebraic structure of these PoWs to prove that this non-amortizability of multiple proofs does in fact hold and further show that the PoWs’ structure can be exploited in ways previous heuristic PoWs could not.",Advances in Cryptology – CRYPTO 2018,,,,10.1007/978-3-319-96884-1_26,Marshall BallAlon RosenManuel SabinPrashant Nalini Vasudevan,2018,http://link.springer.com/chapter/10.1007/978-3-319-96884-1_26,Chapter
Leveraging the Verifier’s Dilemma to Double Spend in Bitcoin,,Financial Cryptography and Data Security,,,,10.1007/978-3-031-47751-5_9,Tong CaoJérémie DecouchantJiangshan Yu,2024,http://link.springer.com/chapter/10.1007/978-3-031-47751-5_9,Chapter
The cost of order in asynchronous systems,,Distributed Algorithms,,,,10.1007/3-540-56188-9_22,Aleta RicciardiKenneth BirmanPatrick Stephenson,1992,http://link.springer.com/chapter/10.1007/3-540-56188-9_22,Chapter
Modelling a distributed cached store for garbage collection: The algorithm and its correctness proof,,ECOOP’98 — Object-Oriented Programming,,,,10.1007/BFb0054094,Paulo FerreiraMarc Shapiro,1998,http://link.springer.com/chapter/10.1007/BFb0054094,Chapter
PoS: Constructing Practical and Efficient Public Key Cryptosystems Based on Symmetric Cryptography with SGX,,Information and Communications Security,,,,10.1007/978-3-030-01950-1_47,Huorong LiJingqiang LinBingyu LiWangzhao Cheng,2018,http://link.springer.com/chapter/10.1007/978-3-030-01950-1_47,Chapter
An automaton-driven frame disposal algorithm and its proof of correctness,,"Algorithms, Concurrency and Knowledge",,,,10.1007/3-540-60688-2_37,M. SatpathyA. SanyalG. Venkatesh,1995,http://link.springer.com/chapter/10.1007/3-540-60688-2_37,Chapter
Querying Proofs,,"Logic for Programming, Artificial Intelligence, and Reasoning",,,,10.1007/978-3-642-28717-6_10,David AspinallEwen DenneyChristoph Lüth,2012,http://link.springer.com/chapter/10.1007/978-3-642-28717-6_10,Chapter
On-the-fly garbage collection: New algorithms inspired by program proofs,,"Automata, Languages and Programming",,,,10.1007/BFb0012753,Mordechai Ben-Ari,1982,http://link.springer.com/chapter/10.1007/BFb0012753,Chapter
Do You Believe in Tinker Bell? The Social Externalities of Trust,,Security Protocols XXIII,,,,10.1007/978-3-319-26096-9_23,Khaled BaqerRoss Anderson,2015,http://link.springer.com/chapter/10.1007/978-3-319-26096-9_23,Chapter
Energy Efficient Deadline Scheduling in Two Processor Systems,,Algorithms and Computation,,,,10.1007/978-3-540-77120-3_42,Tak-Wah LamLap-Kei LeeIsaac K. K. ToPrudence W. H. Wong,2007,http://link.springer.com/chapter/10.1007/978-3-540-77120-3_42,Chapter
LFthreads: A Lock-Free Thread Library,,Principles of Distributed Systems,,,,10.1007/978-3-540-77096-1_16,Anders GidenstamMarina Papatriantafilou,2007,http://link.springer.com/chapter/10.1007/978-3-540-77096-1_16,Chapter
Modeling and Analysis of Checkpoint I/O Operations,,Analytical and Stochastic Modeling Techniques and Applications,,,,10.1007/978-3-642-02205-0_27,Sarala ArunagiriJohn T. DalyPatricia J. Teller,2009,http://link.springer.com/chapter/10.1007/978-3-642-02205-0_27,Chapter
Wittgenstein’s Picture-Investigations,,Diagrammatic Representation and Inference,,,,10.1007/978-3-030-86062-2_10,Michael A. R. Biggs,2021,http://link.springer.com/chapter/10.1007/978-3-030-86062-2_10,Chapter
Quantifying Ecological Efficiency in Cloud Computing,,"Economics of Grids, Clouds, Systems, and Services",,,,10.1007/978-3-319-02414-1_6,Gregory KatsarosPascal Stichler,2013,http://link.springer.com/chapter/10.1007/978-3-319-02414-1_6,Chapter
Maximizing Remote Work in Flooding-Based Peer-to-Peer Systems,,Distributed Computing,,,,10.1007/978-3-540-39989-6_24,Qixiang SunNeil DaswaniHector Garcia-Molina,2003,http://link.springer.com/chapter/10.1007/978-3-540-39989-6_24,Chapter
Automated Reasoning Service for HOL Light,,Intelligent Computer Mathematics,,,,10.1007/978-3-642-39320-4_8,Cezary KaliszykJosef Urban,2013,http://link.springer.com/chapter/10.1007/978-3-642-39320-4_8,Chapter
Performance Analysis Techniques for Task-Based OpenMP Applications,,OpenMP in a Heterogeneous World,,,,10.1007/978-3-642-30961-8_15,Dirk SchmidlPeter PhilippenDaniel LorenzChristian RösselMarkus GeimerDieter an MeyBernd MohrFelix Wolf,2012,http://link.springer.com/chapter/10.1007/978-3-642-30961-8_15,Chapter
On the correctness of a distributed memory Gröbner basis algorithm,,Rewriting Techniques and Applications,,,,10.1007/978-3-662-21551-7_7,Soumen ChakrabartiKatherine Yelick,1993,http://link.springer.com/chapter/10.1007/978-3-662-21551-7_7,Chapter
Modular Termination Verification for Non-blocking Concurrency,,Programming Languages and Systems,,,,10.1007/978-3-662-49498-1_8,Pedro da Rocha PintoThomas Dinsdale-YoungPhilippa GardnerJulian Sutherland,2016,http://link.springer.com/chapter/10.1007/978-3-662-49498-1_8,Chapter
Quantum Challenges,,SOFSEM’99: Theory and Practice of Informatics,,,,10.1007/3-540-47849-3_1,Jozef Gruska,1999,http://link.springer.com/chapter/10.1007/3-540-47849-3_1,Chapter
Specification and verification in higher order algebra: A case study of convolution,,"Higher-Order Algebra, Logic, and Term Rewriting",,,,10.1007/3-540-58233-9_10,K. MeinkeL. J. Steggles,1994,http://link.springer.com/chapter/10.1007/3-540-58233-9_10,Chapter
Nonlinear Stabilizers in Optimal Control Problems with Infinite Time Horizon,,System Modeling and Optimization,,,,10.1007/978-3-642-36062-6_29,Alexander TarasyevAnastasia Usova,2013,http://link.springer.com/chapter/10.1007/978-3-642-36062-6_29,Chapter
From abstract data types to logical frameworks,,Recent Trends in Data Type Specification,,,,10.1007/BFb0014422,José MeseguerNarciso Marti-Oliet,1995,http://link.springer.com/chapter/10.1007/BFb0014422,Chapter
Locality-Based Relaxation: An Efficient Method for GPU-Based Computation of Shortest Paths,,Topics in Theoretical Computer Science,,,,10.1007/978-3-319-68953-1_5,Mohsen SafariAli Ebnenasir,2017,http://link.springer.com/chapter/10.1007/978-3-319-68953-1_5,Chapter
Relaxation for massively parallel discrete event simulation,,Performance Evaluation of Computer and Communication Systems,,,,10.1007/BFb0013858,Boris D. Lubachevsky,1993,http://link.springer.com/chapter/10.1007/BFb0013858,Chapter
Real Time Clocks Versus Virtual Clocks,,Control Flow and Data Flow: Concepts of Distributed Programming,,,,10.1007/978-3-642-82921-5_11,Krzysztof R. AptJean-Luc Richier,1986,http://link.springer.com/chapter/10.1007/978-3-642-82921-5_11,Chapter
Accelerating by Idling: How Speculative Delays Improve Performance of Message-Oriented Systems,,Euro-Par 2017: Parallel Processing,,,,10.1007/978-3-319-64203-1_13,Aleksandar Prokopec,2017,http://link.springer.com/chapter/10.1007/978-3-319-64203-1_13,Chapter
Implementing Execution-Time Clocks for the Ada Ravenscar Profile,,Reliable Software Technologies - Ada-Europe 2004,,,,10.1007/978-3-540-24841-5_10,Juan ZamoranoAlejandro AlonsoJosé Antonio PulidoJuan Antonio de la Puente,2004,http://link.springer.com/chapter/10.1007/978-3-540-24841-5_10,Chapter
"$$\mathtt {MOTIF}$$
                
                  MOTIF
                
              : (Almost) Free Branching in GMW",,Advances in Cryptology – ASIACRYPT 2020,,,,10.1007/978-3-030-64840-4_1,David HeathVladimir KolesnikovStanislav Peceny,2020,http://link.springer.com/chapter/10.1007/978-3-030-64840-4_1,Chapter
Philosophical Aspects of Computerized Verification of Mathematics,,Automated Reasoning with Analytic Tableaux and Related Methods,,,,10.1007/3-540-69778-0_1,N. G. de Bruijn,1998,http://link.springer.com/chapter/10.1007/3-540-69778-0_1,Chapter
DDM-CMP: Data-Driven Multithreading on a Chip Multiprocessor,,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/11512622_39,Kyriakos StavrouParaskevas EvripidouPedro Trancoso,2005,http://link.springer.com/chapter/10.1007/11512622_39,Chapter
Timing Properties and Correctness for Structured Parallel Programs on x86-64 Multicores,,Foundational and Practical Aspects of Resource Analysis,,,,10.1007/978-3-319-46559-3_6,Kevin HammondChristopher BrownSusmit Sarkar,2016,http://link.springer.com/chapter/10.1007/978-3-319-46559-3_6,Chapter
Failboxes: Provably Safe Exception Handling,,ECOOP 2009 – Object-Oriented Programming,,,,10.1007/978-3-642-03013-0_22,Bart JacobsFrank Piessens,2009,http://link.springer.com/chapter/10.1007/978-3-642-03013-0_22,Chapter
Reasoning About Shared-Variable Concurrency: Interactions Between Research Threads,,Formal Methods. FM 2019 International Workshops,,,,10.1007/978-3-030-54997-8_3,Cliff B. Jones,2020,http://link.springer.com/chapter/10.1007/978-3-030-54997-8_3,Chapter
Distributed resource sharing in computer networks,,Foundations of Software Technology and Theoretical Computer Science,,,,10.1007/3-540-17179-7_19,Inder S. GopalParviz Kermani,1986,http://link.springer.com/chapter/10.1007/3-540-17179-7_19,Chapter
Computability on Quasi-Polish Spaces,,Descriptional Complexity of Formal Systems,,,,10.1007/978-3-030-23247-4_13,Mathieu HoyrupCristóbal RojasVictor SelivanovDonald M. Stull,2019,http://link.springer.com/chapter/10.1007/978-3-030-23247-4_13,Chapter
Retrospective and Prospective for Unifying Theories of Programming,,Unifying Theories of Programming,,,,10.1007/11768173_1,Eric Hehner,2006,http://link.springer.com/chapter/10.1007/11768173_1,Chapter
Bin Packing with Linear Usage Costs – An Application to Energy Management in Data Centres,,Principles and Practice of Constraint Programming,,,,10.1007/978-3-642-40627-0_7,Hadrien CambazardDeepak MehtaBarry O’SullivanHelmut Simonis,2013,http://link.springer.com/chapter/10.1007/978-3-642-40627-0_7,Chapter
Online Flow Time Scheduling in the Presence of Preemption Overhead,,"Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques",,,,10.1007/978-3-642-32512-0_8,Ho-Leung ChanTak-Wah LamRongbin Li,2012,http://link.springer.com/chapter/10.1007/978-3-642-32512-0_8,Chapter
XOR MACs: New Methods for Message Authentication Using Finite Pseudorandom Functions,,Advances in Cryptology — CRYPT0’ 95,,,,10.1007/3-540-44750-4_2,Mihir BellareRoch GuérinPhillip Rogaway,1995,http://link.springer.com/chapter/10.1007/3-540-44750-4_2,Chapter
Splice: Aspects That Analyze Programs,,Generative Programming and Component Engineering,,,,10.1007/978-3-540-30175-2_2,Sean McDirmidWilson C. Hsieh,2004,http://link.springer.com/chapter/10.1007/978-3-540-30175-2_2,Chapter
Highly-available data services for UNIX client-server networks: Why fault-tolerant hardware isn't the answer,,Hardware and Software Architectures for Fault Tolerance,,,,10.1007/BFb0020041,Andrea BorrCarol Wilhelmy,1994,http://link.springer.com/chapter/10.1007/BFb0020041,Chapter
Multi-byte Regular Expression Matching with Speculation,,Recent Advances in Intrusion Detection,,,,10.1007/978-3-642-04342-0_15,Daniel LuchaupRandy SmithCristian EstanSomesh Jha,2009,http://link.springer.com/chapter/10.1007/978-3-642-04342-0_15,Chapter
Garbage collection in multischeme,,Parallel Lisp: Languages and Systems,,,,10.1007/BFb0024153,James S. MillerBarbara S. Epstein,1990,http://link.springer.com/chapter/10.1007/BFb0024153,Chapter
A calculus of broadcasting systems,,TAPSOFT '91,,,,10.1007/3-540-53982-4_19,K. V. S. Prasad,1991,http://link.springer.com/chapter/10.1007/3-540-53982-4_19,Chapter
An Intrusion-Resilient Authorization and Authentication Framework for Grid Computing Infrastructure,,Computational Science – ICCS 2005,,,,10.1007/11428862_32,Yuanbo GuoJianfeng MaYadi Wang,2005,http://link.springer.com/chapter/10.1007/11428862_32,Chapter
